Time,Iteration,Reward
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789306,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
1764789783,0,1.0
